# Friedman + Nemenyi post-hoc on auroc (higher = better)
# k = 7 models, N = 5 datasets
# Friedman: chi2 = 11.9077, df = 6, p = 0.0641
# CD (alpha=0.05) = 4.0282
# Pairwise Nemenyi p-values (lower = more different)
model,logistic_regression,svm,random_forest,mlp,xgboost,catboost,tabpfn
logistic_regression,1.0,0.9758,1.0,0.9485,0.9485,0.9995,0.6757
svm,0.9758,1.0,0.9906,1.0,1.0,0.844,0.1633
random_forest,1.0,0.9906,1.0,0.9758,0.9758,0.9972,0.5776
mlp,0.9485,1.0,0.9758,1.0,1.0,0.7664,0.1156
xgboost,0.9485,1.0,0.9758,1.0,1.0,0.7664,0.1156
catboost,0.9995,0.844,0.9972,0.7664,0.7664,1.0,0.9051
tabpfn,0.6757,0.1633,0.5776,0.1156,0.1156,0.9051,1.0
