dataset,model,feature,importance_mean,importance_std,rank,n_repeats
ckd,xgboost,al,0.006467,0.009021,3,10
ckd,xgboost,su,0.0,0.0,16,10
ckd,xgboost,rbc,0.0,0.0,11,10
ckd,xgboost,pc,0.0,0.0,8,10
ckd,xgboost,pcc,0.0,0.0,10,10
ckd,xgboost,ba,0.0,0.0,12,10
ckd,xgboost,bgr,-0.000107,0.000337,23,10
ckd,xgboost,bu,0.0,0.0,13,10
ckd,xgboost,sc,0.00504,0.006321,4,10
ckd,xgboost,sod,-2.7e-05,0.000319,20,10
ckd,xgboost,pot,0.0,0.0,9,10
ckd,xgboost,hemo,0.05052,0.020926,1,10
ckd,xgboost,pcv,2.7e-05,8.4e-05,6,10
ckd,xgboost,wbcc,-0.000133,0.000422,24,10
ckd,xgboost,rbcc,-2.7e-05,8.4e-05,19,10
ckd,xgboost,htn,0.001173,0.002586,5,10
ckd,xgboost,dm,-5.3e-05,0.000169,22,10
ckd,xgboost,cad,0.0,0.0,18,10
ckd,xgboost,appet,0.0,0.0,14,10
ckd,xgboost,pe,0.0,0.0,15,10
ckd,xgboost,ane,0.0,0.0,17,10
ckd,catboost,age,0.0,0.0,16,10
ckd,catboost,bp,0.0,0.0,20,10
ckd,catboost,sg,0.031547,0.013684,1,10
ckd,catboost,al,0.0028,0.006156,4,10
ckd,catboost,su,0.0,0.0,15,10
ckd,catboost,rbc,5.3e-05,0.000169,12,10
ckd,catboost,pc,0.0,0.0,14,10
ckd,catboost,pcc,0.0,0.0,13,10
ckd,catboost,ba,0.0,0.0,19,10
ckd,catboost,bgr,0.000133,0.000422,8,10
ckd,catboost,bu,0.0,0.0,18,10
ckd,catboost,sc,0.003067,0.005085,3,10
ckd,catboost,sod,0.000133,0.000422,9,10
ckd,catboost,pot,0.0,0.0,17,10
ckd,catboost,hemo,0.008267,0.010444,2,10
ckd,catboost,pcv,0.000347,0.000734,6,10
ckd,catboost,wbcc,0.0,0.0,21,10
ckd,catboost,rbcc,0.000107,0.000258,10,10
ckd,catboost,htn,0.000453,0.001006,5,10
ckd,catboost,dm,0.000187,0.000504,7,10
ckd,catboost,cad,0.0,0.0,22,10
ckd,catboost,appet,0.0,0.0,23,10
ckd,catboost,pe,8e-05,0.000253,11,10
ckd,catboost,ane,0.0,0.0,24,10
