dataset,model,feature,importance_mean,importance_std,rank,n_repeats
pima,random_forest,plas,0.134329,0.022487,1,10
pima,random_forest,pres,-0.001195,0.004844,8,10
pima,random_forest,skin,-0.001019,0.004752,7,10
pima,random_forest,insu,0.002407,0.005284,6,10
pima,random_forest,mass,0.045248,0.023303,2,10
pima,random_forest,pedi,0.005464,0.012945,5,10
pima,random_forest,age,0.02609,0.013397,3,10
pima,mlp,preg,0.023177,0.015382,3,10
pima,mlp,plas,0.166144,0.027939,1,10
pima,mlp,pres,0.00658,0.010228,6,10
pima,mlp,skin,0.001662,0.009726,8,10
pima,mlp,insu,0.001821,0.01467,7,10
pima,mlp,mass,0.063204,0.032774,2,10
pima,mlp,pedi,0.013782,0.014136,5,10
pima,mlp,age,0.019845,0.014089,4,10
pima,xgboost,preg,0.00479,0.005972,5,10
pima,xgboost,plas,0.157999,0.0292,1,10
pima,xgboost,pres,-0.000701,0.003347,8,10
pima,xgboost,skin,0.00026,0.003747,6,10
pima,xgboost,insu,7.9e-05,0.004295,7,10
pima,xgboost,mass,0.061028,0.031485,2,10
pima,xgboost,pedi,0.006535,0.012561,4,10
pima,xgboost,age,0.028055,0.015482,3,10
pima,catboost,preg,0.011086,0.008975,5,10
pima,catboost,plas,0.149482,0.030754,1,10
pima,catboost,pres,-0.000816,0.007363,7,10
pima,catboost,skin,-0.001472,0.003654,8,10
pima,catboost,insu,0.00042,0.004504,6,10
pima,catboost,mass,0.05686,0.020768,2,10
pima,catboost,pedi,0.011293,0.014629,4,10
pima,catboost,age,0.027211,0.013532,3,10
pima,tabpfn,preg,0.007996,0.00682,5,10
pima,tabpfn,plas,0.169192,0.027223,1,10
pima,tabpfn,pres,0.001292,0.005429,7,10
pima,tabpfn,skin,-0.000782,0.003593,8,10
pima,tabpfn,insu,0.002261,0.004408,6,10
pima,tabpfn,mass,0.048532,0.02368,2,10
pima,tabpfn,pedi,0.010456,0.013512,4,10
pima,tabpfn,age,0.023053,0.014781,3,10
breast_cancer,logistic_regression,mean radius,0.000857,0.001003,10,10
breast_cancer,logistic_regression,mean texture,0.00218,0.003157,2,10
breast_cancer,logistic_regression,mean perimeter,0.000698,0.00109,15,10
breast_cancer,logistic_regression,mean area,0.000738,0.000954,14,10
breast_cancer,logistic_regression,mean smoothness,-1e-06,0.00102,23,10
breast_cancer,logistic_regression,mean compactness,-1.3e-05,4.2e-05,25,10
breast_cancer,logistic_regression,mean concavity,0.000551,0.001419,18,10
breast_cancer,logistic_regression,mean concave points,0.000818,0.001932,12,10
breast_cancer,logistic_regression,mean symmetry,-1.3e-05,0.000447,24,10
breast_cancer,logistic_regression,mean fractal dimension,0.000806,0.001061,13,10
breast_cancer,logistic_regression,radius error,0.002033,0.002708,3,10
breast_cancer,logistic_regression,texture error,-0.000146,0.000585,28,10
breast_cancer,logistic_regression,perimeter error,0.001227,0.001926,6,10
breast_cancer,logistic_regression,area error,0.001359,0.001506,5,10
breast_cancer,logistic_regression,smoothness error,-0.000352,0.000817,30,10
breast_cancer,logistic_regression,compactness error,0.000507,0.001308,19,10
breast_cancer,logistic_regression,concavity error,-0.000247,0.000694,29,10
breast_cancer,logistic_regression,concave points error,0.00017,0.00078,22,10
breast_cancer,logistic_regression,symmetry error,0.000291,0.000494,21,10
breast_cancer,logistic_regression,fractal dimension error,0.000428,0.001528,20,10
breast_cancer,logistic_regression,worst radius,0.001453,0.001009,4,10
breast_cancer,logistic_regression,worst texture,0.003599,0.004178,1,10
breast_cancer,logistic_regression,worst perimeter,0.001069,0.001106,8,10
breast_cancer,logistic_regression,worst area,0.001124,0.001007,7,10
breast_cancer,logistic_regression,worst smoothness,0.000554,0.002401,16,10
breast_cancer,logistic_regression,worst compactness,-4e-05,0.000679,26,10
breast_cancer,logistic_regression,worst concavity,0.000554,0.001455,17,10
breast_cancer,logistic_regression,worst concave points,0.00082,0.001513,11,10
breast_cancer,logistic_regression,worst symmetry,0.00105,0.002252,9,10
breast_cancer,logistic_regression,worst fractal dimension,-7.9e-05,0.000646,27,10
breast_cancer,svm,mean radius,0.000279,0.000604,20,10
breast_cancer,svm,mean texture,0.001086,0.001973,10,10
breast_cancer,svm,mean perimeter,0.000253,0.000614,21,10
breast_cancer,svm,mean area,0.000292,0.000519,19,10
breast_cancer,svm,mean smoothness,-0.000185,0.000555,28,10
breast_cancer,svm,mean compactness,4e-05,0.001063,24,10
breast_cancer,svm,mean concavity,0.001495,0.001426,5,10
breast_cancer,svm,mean concave points,0.001587,0.00197,3,10
breast_cancer,svm,mean symmetry,-0.00017,0.000393,26,10
breast_cancer,svm,mean fractal dimension,0.000331,0.001155,18,10
breast_cancer,svm,radius error,0.001019,0.002462,11,10
breast_cancer,svm,texture error,0.000463,0.000954,16,10
breast_cancer,svm,perimeter error,0.000411,0.001178,17,10
breast_cancer,svm,area error,0.000517,0.001021,15,10
breast_cancer,svm,smoothness error,-0.00037,0.000864,30,10
breast_cancer,svm,compactness error,0.001533,0.001905,4,10
breast_cancer,svm,concavity error,-0.000251,0.000508,29,10
breast_cancer,svm,concave points error,-0.000171,0.000285,27,10
breast_cancer,svm,symmetry error,-6.6e-05,0.000266,25,10
breast_cancer,svm,fractal dimension error,0.000728,0.001532,14,10
breast_cancer,svm,worst radius,0.001285,0.001404,8,10
breast_cancer,svm,worst texture,0.005002,0.00418,1,10
breast_cancer,svm,worst perimeter,0.001152,0.001161,9,10
breast_cancer,svm,worst area,0.001312,0.001419,6,10
breast_cancer,svm,worst smoothness,0.002312,0.002905,2,10
breast_cancer,svm,worst compactness,0.000106,0.000486,23,10
breast_cancer,svm,worst concavity,0.001298,0.001703,7,10
breast_cancer,svm,worst concave points,0.000966,0.001539,12,10
breast_cancer,svm,worst symmetry,0.000913,0.001789,13,10
breast_cancer,svm,worst fractal dimension,0.000213,0.001194,22,10
breast_cancer,random_forest,mean radius,0.00066,0.003106,12,10
breast_cancer,random_forest,mean texture,0.001428,0.001709,7,10
breast_cancer,random_forest,mean perimeter,0.000912,0.003462,10,10
breast_cancer,random_forest,mean area,0.000886,0.002837,11,10
breast_cancer,random_forest,mean smoothness,-9.3e-05,0.000522,22,10
