seed,model,fold,auroc,accuracy,f1_weighted,brier
0,random_forest,8,0.9018,0.8333,0.8305,0.1256
0,random_forest,9,0.9286,0.8667,0.8655,0.0931
1,random_forest,0,0.9748,0.9032,0.9034,0.0892
1,random_forest,1,0.937,0.8387,0.837,0.1277
1,random_forest,2,0.8676,0.8387,0.8356,0.1417
1,random_forest,3,0.8054,0.7667,0.7653,0.1785
1,random_forest,4,0.9286,0.8333,0.8305,0.1096
1,random_forest,5,0.9777,0.9,0.8983,0.0721
1,random_forest,6,0.8973,0.8,0.7944,0.1419
1,random_forest,7,0.8304,0.7333,0.7309,0.1724
1,random_forest,8,0.8795,0.8333,0.8328,0.1293
1,random_forest,9,0.9286,0.8667,0.8667,0.1073
7,random_forest,0,0.9916,0.9677,0.9676,0.0764
7,random_forest,1,0.9412,0.8387,0.839,0.1078
7,random_forest,2,0.8277,0.8065,0.8044,0.1618
7,random_forest,3,0.8597,0.8333,0.8292,0.1443
7,random_forest,4,0.9286,0.8,0.7982,0.1174
7,random_forest,5,0.8973,0.8,0.7885,0.1271
7,random_forest,6,0.9688,0.9,0.9001,0.0982
7,random_forest,7,0.9598,0.9,0.9001,0.0928
7,random_forest,8,0.8125,0.6667,0.6637,0.1782
7,random_forest,9,0.8705,0.8667,0.8655,0.1392
42,mlp,0,0.9202,0.871,0.871,0.1203
42,mlp,1,0.979,0.9032,0.9034,0.0686
42,mlp,2,0.8824,0.8387,0.838,0.1323
42,mlp,3,0.914,0.8333,0.8324,0.1323
42,mlp,4,0.933,0.8667,0.8667,0.0953
42,mlp,5,0.8482,0.7333,0.7333,0.1556
42,mlp,6,0.9598,0.9,0.8997,0.0868
42,mlp,7,0.8125,0.7333,0.7333,0.2179
42,mlp,8,0.9196,0.8667,0.863,0.1038
42,mlp,9,0.875,0.7,0.6877,0.1651
0,mlp,0,0.8908,0.8065,0.8005,0.1458
0,mlp,1,0.8824,0.8065,0.8069,0.1434
0,mlp,2,0.8613,0.8065,0.8044,0.1494
0,mlp,3,0.8824,0.7667,0.7675,0.1371
0,mlp,4,0.8616,0.8333,0.8328,0.1385
0,mlp,5,0.8973,0.8,0.8,0.1272
0,mlp,6,0.942,0.8333,0.8328,0.1118
0,mlp,7,0.8839,0.8333,0.8335,0.1447
0,mlp,8,0.9375,0.9333,0.9327,0.0919
0,mlp,9,0.933,0.8667,0.8655,0.1146
1,mlp,0,0.958,0.8065,0.8069,0.0912
1,mlp,1,0.9286,0.8065,0.8056,0.1647
1,mlp,2,0.8908,0.8387,0.839,0.1362
1,mlp,3,0.7602,0.7,0.701,0.2024
1,mlp,4,0.8393,0.7333,0.7309,0.1662
1,mlp,5,1.0,0.9667,0.9666,0.0334
1,mlp,6,0.9107,0.7667,0.7627,0.1321
1,mlp,7,0.8839,0.8,0.7982,0.1576
1,mlp,8,0.7857,0.8333,0.8328,0.1607
1,mlp,9,0.8839,0.7667,0.7627,0.1535
7,mlp,0,0.9496,0.871,0.871,0.1137
7,mlp,1,0.916,0.871,0.8696,0.1129
7,mlp,2,0.8277,0.8387,0.839,0.1523
