iter	Logloss
0	0.616813841
1	0.5265007412
2	0.4734701341
3	0.4218902884
4	0.3799585824
5	0.3467546882
6	0.3129279378
7	0.2878004884
8	0.2622471961
9	0.2371062082
10	0.2185439916
11	0.2027527881
12	0.1868409491
13	0.174643857
14	0.1623873638
15	0.1537513798
16	0.1440133475
17	0.1383649825
18	0.1279670244
19	0.1213154054
20	0.1146199229
21	0.1073697911
22	0.1011820272
23	0.09794000894
24	0.09354336737
25	0.08821867432
26	0.08370569903
27	0.08108458707
28	0.07782511648
29	0.07468872849
30	0.07079618037
31	0.06789491437
32	0.06565861909
33	0.0628640331
34	0.06037810544
35	0.05825033749
36	0.05562176134
37	0.0533724998
38	0.050656915
39	0.04948431092
40	0.048049378
41	0.04614484018
42	0.04476484745
43	0.04347251927
44	0.0414809953
45	0.03950031726
46	0.03816461726
47	0.03702541663
48	0.03579665354
49	0.03428316171
50	0.03289339524
51	0.03185670055
52	0.03057679217
53	0.02942252731
54	0.02853255663
55	0.02733985574
56	0.02642321689
57	0.02562277813
58	0.02487791224
59	0.02424084768
60	0.02353232273
61	0.02260232068
62	0.0220086729
63	0.02136680097
64	0.02030421818
65	0.01990404274
66	0.01896492384
67	0.01853619989
68	0.01792912797
69	0.01727023381
70	0.01665292522
71	0.01624083713
72	0.01564169153
73	0.01514840169
74	0.01507348772
75	0.01471219332
76	0.01425401395
77	0.01392976225
78	0.01362233041
79	0.01330762701
80	0.01310767229
81	0.01305218152
82	0.01279533524
83	0.01244082689
84	0.01216182807
85	0.01191274453
86	0.01164090523
87	0.01155786598
88	0.01132808196
89	0.01123855318
90	0.01100205077
91	0.01079236031
92	0.01071363156
93	0.01051335531
94	0.01032458381
95	0.01028898503
96	0.01008952935
97	0.009917829747
98	0.009861467048
99	0.00980133279
100	0.00962955124
101	0.009474699032
102	0.009443806547
103	0.009358738658
104	0.009206675277
105	0.00905697547
106	0.00891150992
107	0.008786417114
108	0.008644298493
109	0.008589193827
110	0.008456224976
111	0.008334593995
112	0.008208364558
113	0.008097078803
114	0.008057778584
115	0.007942258534
116	0.007832325172
117	0.007727775525
118	0.007682752199
119	0.00764703544
120	0.007542596488
121	0.00746461813
122	0.007369354926
123	0.00727560812
124	0.007185721117
125	0.007095704931
126	0.007011275829
127	0.006920333108
128	0.006830989564
129	0.006746088186
130	0.006669084131
131	0.006588128763
132	0.006515058818
133	0.006465334514
134	0.006392198727
135	0.00631337346
136	0.00626307875
137	0.006247973798
138	0.006217850329
139	0.006151938841
140	0.006086121303
141	0.006028335722
142	0.005962361442
143	0.005901188261
144	0.005842653653
145	0.005797305305
146	0.005741101103
147	0.005717023477
148	0.005657940097
149	0.005634258476
150	0.005585214007
151	0.005532283382
152	0.00547916519
153	0.005429471141
154	0.005378927776
155	0.005335737242
156	0.005289514508
157	0.005239585901
158	0.005192441198
159	0.005143133687
160	0.00510697547
161	0.005060491521
162	0.005016219446
163	0.004951637953
164	0.004931991094
165	0.004889867201
166	0.0048499706
167	0.004808279881
168	0.004793945899
169	0.004749922867
170	0.004732725811
171	0.004718431131
172	0.004689879272
173	0.004653213826
174	0.004611380051
175	0.004573797517
176	0.004535892014
177	0.004499335189
178	0.004441470234
179	0.004407206433
180	0.004391608401
181	0.00433713027
182	0.0043279043
183	0.004318717021
184	0.00428497165
185	0.004274677956
186	0.004240483108
187	0.004207809996
188	0.004176995041
189	0.004146556748
190	0.004115360925
191	0.004101982797
192	0.004071602366
193	0.004042652008
194	0.004017154707
195	0.003996364953
196	0.003969203976
197	0.003945338799
198	0.00391917703
199	0.003892647395
